"Calendar Year","Quarter","Quarter Month from","Quarter Month to","County code","County","Permit Date","Permits: Incorporated Cities","Permits: Outside Incorporated Cities","Permits: Allocated Countywide","Total Permits","Taxable Transactions: Incorporated Cities","Taxable Transactions: Outside Incorporated Cities","Taxable Transactions: Unallocated","Total Taxable Transactions","Yearly Percentage Change (%)","Per Capita"
"2014","Q1","1","3","","TOTAL","1/1/2014","848191","130554","","984786","113575169947","11092156695","16130164508","140797491150","3.95",""
"2014","A","1","12","1","Alameda","7/1/2014","38709","2037","","40746","23699657000","799237000","3878820000","28377714000","6.6","18023.35"
"2014","A","1","12","10","Fresno","7/1/2014","15414","2890","","18304","10330140000","1464647000","1533724000","13328511000","5.6","13835.22"
"2014","A","1","12","11","Glenn","7/1/2014","525","301","","826","212207000","84454000","57561000","354221000","6","12344.79"
"2014","A","1","12","12","Humboldt","7/1/2014","2836","1870","","4706","1240664000","455190000","203765000","1899619000","1.6","14093.17"
"2014","A","1","12","13","Imperial","7/1/2014","2843","423","","3266","1845911000","747163000","300188000","2893261000","-21","15985.04"
"2014","A","1","12","14","Inyo","7/1/2014","406","350","","756","161851000","111529000","50716000","324095000","2.2","17411.37"
"2014","A","1","12","15","Kern","7/1/2014","10922","5414","","16336","9045467000","4608204000","2069024000","15722694000","3.4","18100.98"
"2014","A","1","12","16","Kings","7/1/2014","1719","379","","2098","1088015000","254066000","222839000","1564920000","7.2","10436.83"
"2014","A","1","12","17","Lake","7/1/2014","599","1180","","1779","234857000","224544000","78605000","538006000","-2.4","8307.81"
"2014","A","1","12","18","Lassen","7/1/2014","307","315","","622","126594000","74815000","62806000","264216000","3.2","8163.12"
"2014","A","1","12","19","Los Angeles","7/1/2014","256952","15781","","272733","124989966000","5641402000","16815560000","147446927000","5.3","14664.25"
"2014","A","1","12","2","Alpine","7/1/2014","","76","","76","","10496000","26031000","36527000","25.4","32554.83"
"2014","A","1","12","20","Madera","7/1/2014","1252","1495","","2747","781535000","484317000","234361000","1500213000","4.2","9719.3"
"2014","A","1","12","21","Marin","7/1/2014","8658","1614","","10272","3909727000","329622000","622452000","4861801000","4.2","18906.25"
"2014","A","1","12","22","Mariposa","7/1/2014","","654","","654","","167197000","22592000","189789000","6.9","10636.59"
"2014","A","1","12","23","Mendocino","7/1/2014","1544","2188","","3732","693215000","495270000","145256000","1333741000","2.3","15050.96"
